Title,SPDX-ID,URL,State changes,License and copyright notice for source,Distribution,Same license (library),License and copyright notice,Same license (file),Liability,Patent use,Trademark use,Same license,Commercial use,Modification,Disclose source,Private use,Warranty,Network use is distribution,URL
BSD Zero Clause License,0BSD,https://choosealicense.com/licenses/0bsd,,,Permissions,,,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/0bsd
Academic Free License v3.0,AFL-3.0,https://choosealicense.com/licenses/afl-3.0,Conditions,,Permissions,,Conditions,,Limitations,Limitations,Limitations,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/afl-3.0
GNU Affero General Public License v3.0,AGPL-3.0,https://choosealicense.com/licenses/agpl-3.0,Conditions,,Permissions,,Conditions,,Limitations,Limitations,,Conditions,Permissions,Permissions,Conditions,Permissions,Limitations,Conditions,https://choosealicense.com/licenses/agpl-3.0
Apache License 2.0,Apache-2.0,https://choosealicense.com/licenses/apache-2.0,Conditions,,Permissions,,Conditions,,Limitations,Limitations,Limitations,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/apache-2.0
Artistic License 2.0,Artistic-2.0,https://choosealicense.com/licenses/artistic-2.0,Conditions,,Permissions,,Conditions,,Limitations,Limitations,Limitations,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/artistic-2.0
Blue Oak Model License 1.0.0,BlueOak-1.0.0,https://choosealicense.com/licenses/blueoak-1.0.0,,,Permissions,,Conditions,,Limitations,Limitations,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/blueoak-1.0.0
BSD-2-Clause Plus Patent License,BSD-2-Clause-Patent,https://choosealicense.com/licenses/bsd-2-clause-patent,,,Permissions,,Conditions,,Limitations,Limitations,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/bsd-2-clause-patent
"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://choosealicense.com/licenses/bsd-2-clause,,,Permissions,,Conditions,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/bsd-2-clause
BSD 3-Clause Clear License,BSD-3-Clause-Clear,https://choosealicense.com/licenses/bsd-3-clause-clear,,,Permissions,,Conditions,,Limitations,Limitations,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/bsd-3-clause-clear
"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://choosealicense.com/licenses/bsd-3-clause,,,Permissions,,Conditions,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/bsd-3-clause
"BSD 4-Clause ""Original"" or ""Old"" License",BSD-4-Clause,https://choosealicense.com/licenses/bsd-4-clause,,,Permissions,,Conditions,,Limitations,,,,Permissions,Permissions,,Permissions,Limitations,,https://choosealicense.com/licenses/bsd-4-clause
